int,string,string,string,string,string,string,int,int
id,name,sex,nation,education,grade,course,age,zc
1,李晓霞,女,汉族,大学本科,高中,语文,45,2
2,刘大伟,男,汉族,专科,高中,体育,24,0
3,黄宏,女,壮族,硕士,高中,物理,60,3
4,李斌,男,汉族,专科,初中,体育,45,2
5,王大力,男,汉族,专科,初中,数学,30,1
6,蒋建国,男,汉族,大学本科,高中,语文,30,3
7,郭庄,男,汉族,大学本科,高中,计算机,60,4
8,曲巧巧,女,高山族,大学本科,初中,政治,61,4
9,李忠,男,汉族,大学本科,高中,政治,23,0
10,杨梅,女,汉族,大学本科,高中,生物,34,2
11,龙舞,男,汉族,大学本科,高中,化学,22,0
12,郭红,女,汉族,大学本科,初中,地理,35,1
13,刘大田,男,汉族,大学本科,初中,计算机,40,2
14,卢俊义,男,汉族,专科,初中,地理,42,3
15,李大体,男,汉族,大学本科,初中,心理学,26,1
16,蒋格善,男,汉族,大学本科,高中,政治,29,2
17,张无忌,男,汉族,专科,高中,语文,55,3
18,孙万,男,汉族,专科,初中,英语,66,3
19,孙梅,女,汉族,大学本科,高中,数学,40,2
20,李桃花,女,汉族,硕士,初中,历史,27,3
21,李树,男,汉族,硕士,高中,物理,33,2
22,李霞,女,汉族,硕士,高中,心理学,23,0
23,李晓一,女,汉族,专科,高中,语文,25,0
24,刘大余,男,汉族,专科,高中,体育,47,3
25,黄宏维,女,壮族,硕士,高中,物理,39,2
26,李大斌,男,汉族,大学本科,初中,体育,38,4
27,王小力,男,汉族,专科,初中,数学,30,2
28,蒋国,男,汉族,专科,高中,语文,55,4
29,郭庄,男,汉族,大学本科,高中,计算机,36,2
30,曲小巧,女,高山族,大学本科,初中,美术,27,2
31,李汉忠,男,汉族,大学本科,高中,政治,22,0
32,刘梅,女,汉族,大学本科,高中,生物,26,1
33,蒋大舞,男,汉族,大学本科,高中,计算机,23,0
34,郭大红,女,汉族,大学本科,初中,地理,26,1
35,刘小田,男,汉族,大学本科,初中,计算机,30,2
36,卢小义,男,汉族,专科,初中,地理,22,0
37,李大体,男,汉族,大学本科,初中,心理学,63,3
38,蒋格善,男,汉族,大学本科,高中,英语,65,4
39,张无忌,男,汉族,专科,高中,音乐,54,3
40,孙万,男,汉族,专科,初中,数学,55,3
41,孙梅,女,汉族,大学本科,高中,英语,50,4
42,李桃花,女,汉族,硕士,初中,历史,45,2
43,李树,男,汉族,硕士,高中,历史,35,2
44,李霞,女,汉族,大学本科,高中,生物,41,3
44,李霞,女,汉族,大学本科,初中,生物,43,2
44,李霞,女,汉族,大学本科,初中,物理,45,3
44,李霞,女,汉族,大学本科,初中,化学,34,2
44,李霞,女,汉族,大学本科,初中,语文,60,3
44,李霞,女,汉族,大学本科,初中,物理,41,3
44,李霞,女,汉族,大学本科,初中,化学,34,2
44,李霞,女,汉族,大学本科,初中,语文,34,2
44,李霞,女,汉族,大学本科,初中,物理,41,3
44,李霞,女,汉族,大学本科,初中,英语,47,2
44,李霞,女,汉族,大学本科,初中,音乐,41,3
38,蒋格善,男,汉族,大学本科,高中,英语,45,2
39,张无忌,男,汉族,专科,高中,地理,49,4
39,张无忌,男,汉族,专科,高中,美术,37,3
