string,int,int,int,int,int
姓名,行政级别,培训级别,培训天数,培训类型,培训渠道
林媚,0,1,24,2,1
曹兰,1,0,52,3,1
何俊明,0,2,49,2,1
何璐,1,1,75,0,0
陈飞彤,1,2,70,2,1
孔令奇,3,2,53,0,1
黄建为,3,2,51,0,0
黄羽承,2,2,59,2,1
静仪,1,0,49,3,1
李泰祥,2,0,97,2,0
莫少聪,3,0,62,2,2
陈千艺,1,2,5,0,1
林智文,0,0,54,2,0
Krusty,0,2,93,3,1
林隆璇,3,2,52,1,1
林子娟,0,0,32,0,0
刀郎,1,0,92,2,2
李一可,2,0,83,1,2
黄铃,0,0,71,1,0
虎子,1,2,99,1,2
黄志玮,0,1,58,0,1
刘旭,0,2,28,3,0
阿Bert,1,1,45,2,2
陈珊妮,2,1,11,1,1
丽歌,1,2,92,2,1
米儿丝,0,1,50,2,0
顶尖拍档,3,1,41,1,0
刘依纯,2,2,66,1,0
古皓,3,1,29,0,0
冯德伦,1,1,72,1,0
阿兰.达瓦卓玛,3,0,28,0,2
鲍翠薇,2,1,41,1,2
乱弹,2,0,37,2,0
刘鸿,0,0,91,1,2
马博,0,0,45,1,0
办桌二人组,0,0,17,1,0
郭美美,1,2,96,1,0
刘力扬,1,1,6,0,1
卢茜,1,1,27,2,1
金瑞瑶,1,1,26,1,1
陈柏全,3,1,64,3,1
林子萱,2,2,2,0,2
近畿小子,0,1,47,2,2
关月,3,1,12,3,2
黄西田,0,0,9,2,0
高速啤机,3,1,42,0,1
蔡琴,2,2,44,3,1
